,Z,N,M_ex,Esh,alpha2,alpha4,alpha6,S_Z0N1,S_Z0N2,S_Z1N0,S_Z2N0,exist
0,5,5,11.14,-0.49,0.084,0.012,-0.009,10.401,28.392,8.379,24.497999999999998,valid
1,5,6,8.58,-1.73,0.021,0.0,0.0,10.631,21.032,10.959,30.497999999999998,valid
2,5,7,13.36,-1.31,0.021,0.0,0.0,3.2910000000000004,13.922,13.619000000000002,34.498000000000005,valid
3,5,8,16.36,-0.97,0.021,0.0,0.0,5.071,8.362,15.249,38.788,valid
4,5,9,23.68,0.15,0.079,0.009,-0.005,0.7509999999999994,5.821999999999999,17.229,40.608000000000004,valid
5,6,5,10.7,-1.49,0.022,0.0,0.0,12.811,34.132000000000005,7.729000000000001,16.108,valid
6,6,6,0.78,-2.8,0.022,0.0,0.0,17.991,30.802,15.088999999999999,26.048000000000002,valid
7,6,7,4.3,-2.57,0.021,0.0,0.0,4.551,22.541999999999998,16.348999999999997,29.968,valid
8,6,8,4.11,-2.41,0.021,0.0,0.0,8.261,12.812,19.539,34.788,valid
9,6,9,10.47,-1.34,0.053,-0.001,-0.004,1.7109999999999994,9.971999999999998,20.499,37.727999999999994,valid
10,6,10,13.45,-0.67,0.056,0.003,-0.009,5.091000000000001,6.802,23.149,41.408,valid
11,6,11,20.66,-0.47,0.038,-0.002,-0.001,0.8609999999999989,5.952,23.988999999999997,44.467999999999996,valid
12,7,5,17.59,-1.06,0.079,0.007,-0.005,15.380999999999998,37.662,0.39899999999999913,8.128,valid
13,7,6,6.61,-2.3,0.022,0.0,0.0,19.051000000000002,34.432,1.4589999999999996,16.548,valid
14,7,7,4.06,-2.3,0.022,0.0,0.0,10.621,29.672,7.529,23.878,valid
15,7,8,1.71,-2.38,0.022,0.0,0.0,10.421,21.042,9.689,29.227999999999998,valid
16,7,9,5.61,-1.45,0.05,-0.001,-0.006,4.170999999999999,14.591999999999999,12.149000000000001,32.647999999999996,valid
17,7,10,7.33,-0.99,0.052,0.003,-0.012,6.351,10.521999999999998,13.408999999999999,36.55799999999999,valid
18,7,11,12.13,-1.0,0.042,-0.001,-0.002,3.270999999999999,9.622,15.818999999999999,39.80799999999999,valid
19,7,12,15.13,-1.38,0.046,0.003,-0.006,5.071,8.341999999999999,17.089,43.408,valid
20,7,13,20.83,-2.05,0.04,-0.001,-0.004,2.371000000000002,7.442000000000002,19.499000000000002,46.408,valid
21,7,14,25.01,-2.94,0.022,0.0,0.0,3.8909999999999965,6.261999999999999,20.808999999999997,50.178,valid
22,7,15,32.33,-3.32,0.021,0.0,0.0,0.751000000000003,4.6419999999999995,22.809000000000005,52.64800000000001,valid
23,8,7,4.62,-2.11,0.022,0.0,0.0,12.620999999999999,34.692,6.728999999999999,14.258,valid
24,8,8,-3.68,-2.29,0.022,0.0,0.0,16.371000000000002,28.991999999999997,12.679,22.368000000000002,valid
25,8,9,-0.75,-1.4,0.048,-0.001,-0.012,5.141,21.512,13.649000000000001,25.798000000000002,valid
26,8,10,-1.71,-1.04,0.048,-0.002,-0.012,9.030999999999999,14.171999999999999,16.329,29.738,valid
27,8,11,2.13,-1.21,0.04,-0.002,-0.003,4.231,13.262,17.289,33.108000000000004,valid
28,8,12,2.62,-1.79,0.04,-0.002,-0.004,7.5809999999999995,11.812,19.799,36.888,valid
29,8,13,7.37,-2.7,0.04,-0.001,-0.004,3.3209999999999997,10.902,20.748999999999995,40.248,valid
30,8,14,9.23,-3.83,0.022,0.0,0.0,6.210999999999999,9.532,23.069000000000003,43.878,valid
31,8,15,15.93,-4.19,0.021,0.0,0.0,1.3710000000000004,7.582000000000001,23.689,46.498000000000005,valid
32,9,7,11.4,-1.16,0.058,0.007,-0.009,14.951,37.932,0.5089999999999995,7.237999999999999,valid
33,9,8,2.18,-1.29,0.048,-0.001,-0.013,17.291,32.242000000000004,1.4289999999999994,14.107999999999999,valid
34,9,9,0.18,-0.37,0.094,0.031,-0.002,10.071,27.362000000000002,6.359,20.008,valid
35,9,10,-2.33,0.08,0.121,0.01,-0.003,10.581,20.652,7.909,24.238,valid
36,9,11,-0.48,0.01,0.121,0.011,-0.009,6.221,16.802,9.899,27.188000000000002,valid
37,9,12,-0.81,-0.51,0.106,0.011,-0.003,8.401,14.622,10.719,30.518,valid
38,9,13,2.01,-1.38,0.056,-0.002,-0.007,5.2509999999999994,13.652,12.649000000000001,33.397999999999996,valid
39,9,14,3.09,-2.46,0.022,0.0,0.0,6.991,12.241999999999999,13.429,36.498000000000005,valid
40,9,15,8.04,-2.72,0.021,0.0,0.0,3.1210000000000004,10.112,15.179,38.867999999999995,valid
41,9,16,11.84,-2.71,0.02,-0.001,0.0,4.270999999999999,7.3919999999999995,15.828999999999999,41.288,valid
42,9,17,19.22,-1.83,0.057,0.014,-0.008,0.6910000000000007,4.962,17.709000000000003,43.748000000000005,valid
43,9,18,25.09,-1.11,0.076,0.005,-0.008,2.2009999999999987,2.8919999999999995,18.509,46.298,valid
44,10,9,1.04,0.09,0.123,0.012,-0.002,11.591,31.592,6.428999999999999,12.788,valid
45,10,10,-6.56,0.34,0.164,0.03,-0.011,15.671,27.262,11.518999999999998,19.427999999999997,valid
46,10,11,-5.46,0.34,0.182,0.011,-0.01,6.971,22.642,12.269,22.168,valid
47,10,12,-7.74,0.11,0.147,-0.012,-0.009,10.350999999999999,17.322,14.219,24.938,valid
48,10,13,-5.38,-0.51,0.071,-0.019,-0.003,5.710999999999999,16.061999999999998,14.678999999999998,27.328,valid
49,10,14,-6.23,-1.47,0.022,0.0,0.0,8.921,14.632,16.609,30.038,valid
50,10,15,-1.91,-1.71,0.054,0.0,-0.005,3.7509999999999994,12.672,17.238999999999997,32.418,valid
51,10,16,0.17,-1.54,0.02,-0.001,0.0,5.991,9.741999999999999,18.959,34.788,valid
52,10,17,6.75,-0.88,0.057,0.016,-0.009,1.4909999999999997,7.481999999999999,19.759,37.468,valid
53,10,18,10.75,-0.3,0.076,0.003,-0.011,4.071,5.561999999999999,21.628999999999998,40.138000000000005,valid
54,10,19,18.34,0.21,0.056,-0.015,-0.008,0.48099999999999987,4.552,22.259,42.288,valid
55,10,20,23.47,0.66,0.016,-0.001,0.0,2.9410000000000007,3.4220000000000006,23.939,44.477999999999994,valid
56,11,9,6.41,-0.01,0.118,0.011,-0.005,13.591,34.702,1.9189999999999996,8.347999999999999,valid
57,11,10,-1.94,0.32,0.186,0.011,-0.014,16.421,30.012,2.6690000000000005,14.187999999999999,valid
58,11,11,-5.18,0.26,0.197,0.001,-0.018,11.311,27.732,7.0089999999999995,19.278,valid
59,11,12,-8.7,0.24,0.174,-0.008,-0.006,11.591,22.902,8.248999999999999,22.467999999999996,valid
60,11,13,-8.07,-0.22,0.078,-0.028,0.002,7.441000000000001,19.032,9.979,24.658,valid
61,11,14,-9.74,-1.25,0.022,0.0,0.0,9.741,17.182000000000002,10.799,27.408,valid
62,11,15,-7.06,-1.35,0.043,-0.001,0.0,5.390999999999999,15.131999999999998,12.439,29.677999999999997,valid
63,11,16,-5.69,-1.18,0.02,-0.001,0.0,6.7010000000000005,12.091999999999999,13.149000000000001,32.108000000000004,valid
64,11,17,-0.81,-0.53,0.056,0.015,-0.006,3.190999999999999,9.892,14.849,34.608,valid
65,11,18,2.39,-0.07,0.098,-0.007,-0.003,4.8709999999999996,8.062,15.649,37.278,valid
66,11,19,8.27,0.32,0.052,-0.017,-0.005,2.1910000000000007,7.061999999999999,17.359,39.618,valid
67,11,20,12.63,0.6,0.016,-0.001,0.0,3.7109999999999985,5.901999999999999,18.128999999999998,42.068,valid
68,11,21,19.92,1.33,0.052,0.015,-0.006,0.7809999999999988,4.491999999999997,19.499000000000002,43.768,valid
69,11,22,25.39,1.58,0.189,0.008,-0.006,2.601000000000001,3.3819999999999997,20.039,45.928,valid
70,11,23,33.0,1.67,0.184,0.008,-0.008,0.4610000000000003,3.062000000000001,21.439,47.828,valid
71,11,24,39.2,1.67,0.18,0.005,-0.011,1.8709999999999969,2.331999999999997,21.958999999999996,49.798,valid
72,11,26,54.48,1.53,0.185,0.001,-0.012,1.121000000000004,0.8620000000000054,23.839000000000006,53.19799999999999,valid
73,12,9,10.08,-0.57,0.107,0.011,-0.004,14.411000000000001,38.272000000000006,3.6189999999999998,5.538,valid
